"01/24/2024","-45.00","*","","USA GASOLINE"
"01/30/2024","-66.97","*","","CAR MAINTAINENCE FEE"
"01/24/2024","-500.00","*","","AIRLINE FLT"
"01/22/2024","-51.07","*","","ITALIAN FOOD"
"01/22/2024","1000.00","*","","Employer DIR DEP"
"01/20/2024","-60.00","*","","dental expenses"
"01/14/2024","-152.95","*","","SUPERMARKET"
"01/13/2024","-50.94","*","","GYM MEMBERSHIP"
"01/09/2024","1000.00","*","","Employer DIR DEP"
"01/08/2024","-158.00","*","","GROCERY STORE"
"01/02/2024","-66.00","*","","CLOTHES"
"01/01/2024","-1000.00","*","","MONTHLY RENT"
"01/01/2024","-44.93","*","","HAIRCUT"
