DATE,AMOUNT,DESCRIPTION,CATEGORY
12/01/2023,-11.75,movie club fee,Memberships and Subscriptions
12/01/2023,-44.93,HAIRCUT,Personal Expenses
12/01/2023,-1000.0,MONTHLY RENT,Rent and Utilities
12/02/2023,-66.0,CLOTHES,Personal Expenses
12/08/2023,-158.0,GROCERY STORE,Groceries
12/09/2023,1000.0,Employer DIR DEP,Income
12/09/2023,500.0,MONTHLY DIVIDENDS,Income
12/13/2023,-50.94,GYM MEMBERSHIP,Memberships and Subscriptions
12/14/2023,-152.95,SUPERMARKET,Groceries
12/14/2023,-63.0,BOOK STORE,Personal Expenses
12/20/2023,-60.0,dental expenses,Medical Expenses
12/22/2023,-51.07,ITALIAN FOOD,Restaurants
12/22/2023,1000.0,Employer DIR DEP,Income
12/24/2023,-500.0,AIRLINE FLT,Travel Expenses
12/24/2023,-45.0,USA GASOLINE,Gas
12/24/2023,200.0,CASHED CHECK,Income
12/30/2023,0.42,INTEREST PAYMENT,Income
12/30/2023,-21.5,FRESH FRUIT,Groceries
12/30/2023,-66.97,CAR MAINTAINENCE FEE,Car Maintainence and Insurance
