DATE,AMOUNT,DESCRIPTION,CATEGORY
11/01/2023,-11.75,movie club fee,Memberships and Subscriptions
11/01/2023,-44.93,HAIRCUT,Personal Expenses
11/01/2023,-1000.0,MONTHLY RENT,Rent and Utilities
11/02/2023,-66.0,CLOTHES,Personal Expenses
11/08/2023,-158.0,GROCERY STORE,Groceries
11/09/2023,1000.0,Employer DIR DEP,Income
11/09/2023,500.0,MONTHLY DIVIDENDS,Income
11/13/2023,-50.94,GYM MEMBERSHIP,Memberships and Subscriptions
11/14/2023,-152.95,SUPERMARKET,Groceries
11/14/2023,-63.0,BOOK STORE,Personal Expenses
11/20/2023,-60.0,dental expenses,Medical Expenses
11/22/2023,-51.07,ITALIAN FOOD,Restaurants
11/22/2023,1000.0,Employer DIR DEP,Income
11/24/2023,-500.0,AIRLINE FLT,Travel Expenses
11/24/2023,-45.0,USA GASOLINE,Gas
11/24/2023,200.0,CASHED CHECK,Income
11/30/2023,0.42,INTEREST PAYMENT,Income
11/30/2023,-21.5,FRESH FRUIT,Groceries
11/30/2023,-66.97,CAR MAINTAINENCE FEE,Car Maintainence and Insurance
